 "Ndis", "ApproxLux"
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    89, 44000.5914
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    91, 42134.5453
    91, 42134.5453
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    90, 43052.2777
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    90, 43052.2777
    90, 43052.2777
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
    91, 42134.5453
